"Artist1";"Artist2";"Song_Connecting";"Popularity"
"2KXYAKQTxHuUHDtVgeGn6w";"5FkcU4BVzPptuB6AjobZIL";"5S8BB5FILokyYmN0BZruDQ";59
"2KXYAKQTxHuUHDtVgeGn6w";"51ltJZ6rB893AdzgCxSOV3";"5S8BB5FILokyYmN0BZruDQ";59
"1gs79u8PKkWAW1yfymbkTt";"3hBQ4zniNdQf1cqqo6hzuW";"5S8BB5FILokyYmN0BZruDQ";59
"1gs79u8PKkWAW1yfymbkTt";"5FkcU4BVzPptuB6AjobZIL";"5S8BB5FILokyYmN0BZruDQ";59
"1gs79u8PKkWAW1yfymbkTt";"51ltJZ6rB893AdzgCxSOV3";"5S8BB5FILokyYmN0BZruDQ";59
"3hBQ4zniNdQf1cqqo6hzuW";"5FkcU4BVzPptuB6AjobZIL";"5S8BB5FILokyYmN0BZruDQ";59
"3hBQ4zniNdQf1cqqo6hzuW";"51ltJZ6rB893AdzgCxSOV3";"5S8BB5FILokyYmN0BZruDQ";59
"51ltJZ6rB893AdzgCxSOV3";"5FkcU4BVzPptuB6AjobZIL";"5S8BB5FILokyYmN0BZruDQ";59
"0VitAFMCI2apQxKzDjg1PU";"19i93sA0D7yS9dYoVNBqAA";"6oNJqGeekJO8rADd2Mktvi";65
"0VitAFMCI2apQxKzDjg1PU";"0ffKEtMDnROKWyJtXUnLbJ";"6W30ttL2kUQ5jT4CnXPJdG";60
"19i93sA0D7yS9dYoVNBqAA";"2KXYAKQTxHuUHDtVgeGn6w";"6oNJqGeekJO8rADd2Mktvi";65
"0ffKEtMDnROKWyJtXUnLbJ";"2KXYAKQTxHuUHDtVgeGn6w";"6W30ttL2kUQ5jT4CnXPJdG";60
"19i93sA0D7yS9dYoVNBqAA";"1gs79u8PKkWAW1yfymbkTt";"6W30ttL2kUQ5jT4CnXPJdG";60
"0ffKEtMDnROKWyJtXUnLbJ";"1gs79u8PKkWAW1yfymbkTt";"6W30ttL2kUQ5jT4CnXPJdG";60
"0VitAFMCI2apQxKzDjg1PU";"0jdNdfi4vAuVi7a6cPDFBM";"6xOC20CkoRKAwGWh32nPHL";65
"0VitAFMCI2apQxKzDjg1PU";"1vgQksyJ0IVz8y9XerEOy3";"6xOC20CkoRKAwGWh32nPHL";65
"0VitAFMCI2apQxKzDjg1PU";"1El4YQA8oCXX7ynFSxRTFq";"6xOC20CkoRKAwGWh32nPHL";65
"0jdNdfi4vAuVi7a6cPDFBM";"2KXYAKQTxHuUHDtVgeGn6w";"6xOC20CkoRKAwGWh32nPHL";65
"1vgQksyJ0IVz8y9XerEOy3";"2KXYAKQTxHuUHDtVgeGn6w";"6xOC20CkoRKAwGWh32nPHL";65
"1El4YQA8oCXX7ynFSxRTFq";"2KXYAKQTxHuUHDtVgeGn6w";"6xOC20CkoRKAwGWh32nPHL";65
"0jdNdfi4vAuVi7a6cPDFBM";"1gs79u8PKkWAW1yfymbkTt";"6xOC20CkoRKAwGWh32nPHL";64
"1gs79u8PKkWAW1yfymbkTt";"1vgQksyJ0IVz8y9XerEOy3";"6xOC20CkoRKAwGWh32nPHL";64
"1El4YQA8oCXX7ynFSxRTFq";"1gs79u8PKkWAW1yfymbkTt";"6xOC20CkoRKAwGWh32nPHL";64
"0jdNdfi4vAuVi7a6cPDFBM";"1vgQksyJ0IVz8y9XerEOy3";"6xOC20CkoRKAwGWh32nPHL";65
"0jdNdfi4vAuVi7a6cPDFBM";"1El4YQA8oCXX7ynFSxRTFq";"6xOC20CkoRKAwGWh32nPHL";65
"1El4YQA8oCXX7ynFSxRTFq";"1vgQksyJ0IVz8y9XerEOy3";"6xOC20CkoRKAwGWh32nPHL";65
"0VitAFMCI2apQxKzDjg1PU";"5SulO4l40qDuV9zUGLZx7n";"1LLlIHa6yVdxTyVseZYa5t";60
"0VitAFMCI2apQxKzDjg1PU";"0hk4xVujcyOr6USD95wcWb";"1LLlIHa6yVdxTyVseZYa5t";60
"2KXYAKQTxHuUHDtVgeGn6w";"5SulO4l40qDuV9zUGLZx7n";"1LLlIHa6yVdxTyVseZYa5t";60
"0hk4xVujcyOr6USD95wcWb";"2KXYAKQTxHuUHDtVgeGn6w";"1LLlIHa6yVdxTyVseZYa5t";60
